         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        4    0.000    0.000    0.000    0.000 typing.py:2050(__new__)
      133    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      772    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:317(get_makefile_filename)
        2    0.000    0.000    0.000    0.000 threading.py:869(__init__)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 threading.py:1350(__init__)
       46    0.000    0.000    0.000    0.000 typing.py:1131(_typevar_subst)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:453(get_path)
       35    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:441(get_paths)
       33    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
      169    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_expand_vars)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
      109    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
      896    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 inspect.py:3342(signature)
       33    0.000    0.000    0.000    0.000 std.py:186(__format__)
        1    0.000    0.000    0.000    0.000 inspect.py:3066(from_callable)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
       24    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      381    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:3138(__new__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      287    0.000    0.000    0.000    0.000 _parser.py:175(append)
      328    0.000    0.000    0.000    0.000 typing.py:1803(__eq__)
      271    0.000    0.000    0.000    0.000 functools.py:66(wraps)
      542    0.000    0.000    0.000    0.000 _parser.py:255(match)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
       81    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
       18    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
       36    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       43    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 version.py:1(<module>)
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       45    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        2    0.000    0.000    0.000    0.000 __init__.py:186(_safe_realpath)
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      126    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      243    0.000    0.000    0.000    0.000 _parser.py:292(tell)
      442    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       99    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       63    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:391(realpath)
       78    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
      988    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      438    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
